text,label_name,base_pred,base_correct,ft_pred,ft_correct
The ATM at Metro bank on High St. Kensington swallowed my card. How do I get it back?,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
My ATM got stuck and I'm not sure what to do.,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
The ATM ate my card.,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
The ATM won't give me my card back.,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
My card was confiscated by an ATM. How do I get my card back?,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
What do I do if the ATM ate my card?,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
ATM still has my card,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
What do I do if an ATM ate my card?,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
What happens if the ATM doesn't give me back my card?,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
I can't pull my card out of the ATM. Help me.,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
Why would an ATM swallow my card?,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
My card was taken by the ATM.,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
Help!  The atm won't give me my card back.,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
The stupid machine just swallowed my card!! I need a new one ASAP,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
How do I retrieve a trapped card from a ATM?,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
"My card is stuck in the ATM, what can I do?",card_swallowed,lost_or_stolen_card,False,card_swallowed,True
I was getting cash and can't get my card back.,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
"If my card is trapped in the ATM, what do I do?",card_swallowed,lost_or_stolen_card,False,card_swallowed,True
My card has been swallowed by an ATM,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
I was taking out funds and was unable to regain my card.,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
What should I do with my atm that got stuck?,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
The ATM at Metro bank on High St. Kensington didn't return my card. What should I do now that the bank is closed?,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
The ATM won't give back my card,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
I was at an ATM and it swallowed my card.,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
WTF??? I tried to withdraw some money at a Metro bank on High St. Kensington and without any notice it disappeared in the machine. The bank was already closed so I couldn't do anything. How do I get it back?,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
What happens if my card is stuck in the ATM?,card_swallowed,lost_or_stolen_card,False,card_swallowed,True
Why can't I activate my card?,activate_my_card,lost_or_stolen_card,False,activate_my_card,True
I tried activating my bill of fare and it didn't workplace,activate_my_card,declined_card_payment,False,activate_my_card,True
